circuit_name,folder,label_graph,num_nodes,num_edges,avg_degree,avg_in_degree,avg_out_degree,frac_xor,frac_xnor,frac_assign,frac_behavioral
Priority.v,verilog_benchmark_circuits,0,1951,2783,2.8528959507944642,1.4264479753972321,1.4264479753972321,0.0,0.0,0.0,0.0
adder.v,verilog_benchmark_circuits,0,2547,3311,2.5999214762465646,1.2999607381232823,1.2999607381232823,0.0,0.0,0.0,0.0
arbiter.v,verilog_benchmark_circuits,0,23574,35157,2.9826927971494017,1.4913463985747009,1.4913463985747009,0.0,0.0,0.0,0.0
bar.v,verilog_benchmark_circuits,0,3222,6423,3.9869646182495346,1.9934823091247673,1.9934823091247673,0.0,0.0,0.0,0.0
c1355.v,verilog_benchmark_circuits,0,591,1064,3.6006768189509306,1.8003384094754653,1.8003384094754653,0.0,0.0,0.0,0.0
c17.v,verilog_benchmark_circuits,0,13,14,2.1538461538461537,1.0769230769230769,1.0769230769230769,0.0,0.0,0.0,0.0
c1908.v,verilog_benchmark_circuits,0,537,987,3.6759776536312847,1.8379888268156424,1.8379888268156424,0.0,0.0,0.0,0.0
c2670.v,verilog_benchmark_circuits,0,974,1455,2.9876796714579057,1.4938398357289528,1.4938398357289528,0.0,0.0,0.09240246406570841,0.0
c3540.v,verilog_benchmark_circuits,0,1106,2112,3.819168173598553,1.9095840867992766,1.9095840867992766,0.0,0.0,0.0,0.0
c432.v,verilog_benchmark_circuits,0,211,351,3.3270142180094786,1.6635071090047393,1.6635071090047393,0.08530805687203792,0.0,0.0,0.0
c499.v,verilog_benchmark_circuits,0,247,408,3.3036437246963564,1.6518218623481782,1.6518218623481782,0.42105263157894735,0.0,0.0,0.0
c5315.v,verilog_benchmark_circuits,0,1881,3520,3.742690058479532,1.871345029239766,1.871345029239766,0.0,0.0,0.010101010101010102,0.0
c6288.v,verilog_benchmark_circuits,0,2416,4721,3.908112582781457,1.9540562913907285,1.9540562913907285,0.0,0.0,0.0,0.0
c7552.v,verilog_benchmark_circuits,0,2645,4622,3.4948960302457466,1.7474480151228733,1.7474480151228733,0.0,0.0,0.01890359168241966,0.0
c880.v,verilog_benchmark_circuits,0,407,685,3.366093366093366,1.683046683046683,1.683046683046683,0.0,0.0,0.0,0.0
cavlc.v,verilog_benchmark_circuits,0,1262,1945,3.0824088748019016,1.5412044374009508,1.5412044374009508,0.0,0.0,0.0,0.0
ctrl.v,verilog_benchmark_circuits,0,339,505,2.9793510324483776,1.4896755162241888,1.4896755162241888,0.0,0.0,0.0029498525073746312,0.0
