circuit_name,src,dst
Priority__trojan_andxor.v,\A[125],g1
Priority__trojan_andxor.v,g1,g2
Priority__trojan_andxor.v,\A[127],g2
Priority__trojan_andxor.v,\A[126],g3
Priority__trojan_andxor.v,\A[127],g3
Priority__trojan_andxor.v,g3,g4
Priority__trojan_andxor.v,\A[126],g5
Priority__trojan_andxor.v,g4,g5
Priority__trojan_andxor.v,g5,g6
Priority__trojan_andxor.v,\A[125],g7
Priority__trojan_andxor.v,g6,g7
Priority__trojan_andxor.v,g2,g8
Priority__trojan_andxor.v,g7,g9
Priority__trojan_andxor.v,g8,g10
Priority__trojan_andxor.v,g9,g10
Priority__trojan_andxor.v,\A[123],g11
Priority__trojan_andxor.v,g10,g12
Priority__trojan_andxor.v,g11,g13
Priority__trojan_andxor.v,g12,g13
Priority__trojan_andxor.v,\A[124],g14
Priority__trojan_andxor.v,g14,g15
Priority__trojan_andxor.v,g6,g15
Priority__trojan_andxor.v,\A[124],g16
Priority__trojan_andxor.v,g12,g16
Priority__trojan_andxor.v,g15,g17
Priority__trojan_andxor.v,g16,g18
Priority__trojan_andxor.v,g17,g19
Priority__trojan_andxor.v,g18,g19
Priority__trojan_andxor.v,g19,g20
Priority__trojan_andxor.v,\A[123],g21
Priority__trojan_andxor.v,g20,g21
Priority__trojan_andxor.v,g13,g22
Priority__trojan_andxor.v,g21,g23
Priority__trojan_andxor.v,g22,g24
Priority__trojan_andxor.v,g23,g24
Priority__trojan_andxor.v,\A[121],g25
Priority__trojan_andxor.v,g24,g26
Priority__trojan_andxor.v,g25,g27
Priority__trojan_andxor.v,g26,g27
Priority__trojan_andxor.v,\A[122],g28
Priority__trojan_andxor.v,g28,g29
Priority__trojan_andxor.v,g20,g29
Priority__trojan_andxor.v,\A[122],g30
Priority__trojan_andxor.v,g26,g30
Priority__trojan_andxor.v,g29,g31
Priority__trojan_andxor.v,g30,g32
Priority__trojan_andxor.v,g31,g33
Priority__trojan_andxor.v,g32,g33
Priority__trojan_andxor.v,g33,g34
Priority__trojan_andxor.v,\A[121],g35
Priority__trojan_andxor.v,g34,g35
Priority__trojan_andxor.v,g27,g36
Priority__trojan_andxor.v,g35,g37
Priority__trojan_andxor.v,g36,g38
Priority__trojan_andxor.v,g37,g38
Priority__trojan_andxor.v,\A[119],g39
Priority__trojan_andxor.v,g38,g40
Priority__trojan_andxor.v,g39,g41
Priority__trojan_andxor.v,g40,g41
Priority__trojan_andxor.v,\A[120],g42
Priority__trojan_andxor.v,g42,g43
Priority__trojan_andxor.v,g34,g43
Priority__trojan_andxor.v,\A[120],g44
